GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi),Speed (GPS)(km/h),Speed (OBD)(km/h),Fuel used (trip)(l),Fuel tank pressure(psi),Outside air temperature(°C),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C)
-,09-4-2014 17:09:26.415,-,-,-,-,-,-,0.83,6.42,7.62,0.04,14.65,-,-,2.53,-,-,-,-,-,0,-,-,-,-,14.51,84.71,786.5,-,28.24,-,-,-,-,0,14.7,14.96,-,-,42.18,4.71,-,-,0,-,-,-,0,0,0,-,29,-
-,09-4-2014 17:09:27.415,-,-,-,-,-,-,0.82,7.16,6.68,0.02,14.65,-,-,2.53,-,-,-,-,-,0,0,0,-,-,14.51,84.71,786.5,-,28.24,-,-,-,-,0,14.7,14.96,-,-,42.18,4.71,-,-,0,-,0,-17.78,0,0,0,-,29,-
-,09-4-2014 17:09:30.440,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,2.53,-,-,-,-,-,0,0,0,-,-,14.51,84.71,783.5,31,27.45,-,22,14.65,-,0,14.7,14.96,13,-,42.18,4.71,-,-,0,-,0,-17.78,0,0,0,-,31,-
-,09-4-2014 17:09:33.590,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,2.53,-,-,-,-,-,0,0,0,-,-,14.51,84.71,776,32,28.24,-,22,14.65,-,0,14.7,14.98,13,-,42.18,4.71,-,-,0,0,0,-17.78,0,0,0,-,31,-
-,09-4-2014 17:09:36.670,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,6.16,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780,32,27.45,-,22,14.65,-,0,14.7,14.92,13,-,102.72,4.71,-,-,0,0.01,0,-17.78,0,0,0,-,31,-
-,09-4-2014 17:09:39.432,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,3.33,-,-,-,-,-,0,0,0,-,-,14.51,84.71,781,32,27.84,-,22,14.65,-,0,14.7,14.96,13,-,55.42,4.71,-,-,0,0.01,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:41.696,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,6.17,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780.5,32,27.84,-,22,14.65,-,0,14.7,14.96,13,-,102.91,4.71,-,-,0,0.02,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:43.946,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,3.74,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778,32,28.24,-,22,14.65,-,0,14.7,14.94,13,-,62.38,4.71,-,-,0,0.02,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:45.686,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,6.03,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780,32,28.63,-,22,14.65,-,0,14.7,14.92,13,-,100.53,4.71,-,-,0,0.02,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:47.487,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.5,-,-,6.1,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778.5,32,27.84,-,22,14.65,-,0,14.7,14.98,13,-,101.69,4.71,-,-,0,0.03,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:49.260,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,0.22,-,-,-,-,-,0,0,0,-,-,14.51,84.71,779.5,32,27.84,-,22,14.65,-,0.15,14.7,14.96,13,-,3.72,4.71,-,-,0,0.03,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:50.947,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,6.1,-,-,-,-,-,0,0,0,-,-,14.51,84.71,777.5,32,28.24,-,22,14.65,-,0,14.6,14.9,13,-,101.69,4.71,-,-,0,0.03,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:52.592,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,2.09,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778.5,32,28.63,-,22,14.65,-,0,14.7,15,13,-,34.91,4.71,-,-,0,0.03,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:54.289,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,6.01,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780.5,33,27.84,-,22,14.65,-,0,14.7,14.9,13,-,100.16,4.71,-,-,0,0.03,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:56.101,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,2.64,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778,33,28.24,-,22,14.65,-,0,14.6,14.9,13,-,44.07,4.71,-,-,0,0.03,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:57.814,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,6.08,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778.5,33,28.63,-,22,14.65,-,0,14.7,14.98,13,-,101.38,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,32,-
-,09-4-2014 17:09:59.510,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,6.15,-,-,-,-,-,0,0,0,-,-,14.51,84.71,779.5,33,27.84,-,22,14.65,-,0,14.7,14.96,13,-,102.54,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,33,-
-,09-4-2014 17:10:01.340,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,0.37,-,-,-,-,-,0,0,0,-,-,14.51,84.71,782,33,27.84,-,22,14.65,-,0,14.7,14.96,13,-,6.23,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,33,-
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi),Speed (GPS)(km/h),Speed (OBD)(km/h),Fuel used (trip)(l),Fuel tank pressure(psi),Outside air temperature(°C),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C)
-,09-4-2014 17:10:03.053,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,2.85,-,-,-,-,-,0,0,0,-,-,14.51,84.71,782,33,27.45,-,22,14.65,-,0,14.7,14.92,13,-,47.42,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,33,-
-,09-4-2014 17:10:40.931,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,5.9,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778.5,33,28.24,-,22,14.65,-,0,14.6,14.98,13,-,98.33,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,33,-
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi),Speed (GPS)(km/h),Speed (OBD)(km/h),Fuel used (trip)(l),Fuel tank pressure(psi),Outside air temperature(°C),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C)
-,09-4-2014 17:10:42.843,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,5.9,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778.5,35,28.63,-,22,14.65,-,0,14.6,14.96,13,-,98.33,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:44.701,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,0.02,-,-,-,-,-,0,0,0,-,-,14.51,84.71,781.5,35,27.84,-,22,14.65,-,0,14.7,14.9,13,-,0.27,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:46.320,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,2.15,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780.5,35,27.84,-,22,14.65,-,0,14.7,14.96,13,-,35.77,4.71,-,-,0,0.04,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:47.888,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.5,-,-,0.89,-,-,-,-,-,0,0,0,-,-,14.51,84.71,783,35,28.24,-,22,14.65,-,0,14.6,14.94,13,-,14.89,4.71,-,-,0,0.05,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:49.561,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,3.98,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780,35,27.84,-,22,14.65,-,0.15,14.7,14.92,13,-,66.28,4.71,-,-,0,0.05,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:51.310,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,4.71,-,-,-,-,-,0,0,0,-,-,14.51,84.71,782.5,35,27.84,-,22,14.65,-,0,14.7,14.94,13,-,78.49,4.71,-,-,0,0.05,0,-17.78,0,0,0,-,35,-
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi),Speed (GPS)(km/h),Speed (OBD)(km/h),Fuel used (trip)(l),Fuel tank pressure(psi),Outside air temperature(°C),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C)
-,09-4-2014 17:10:53.056,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,4.42,-,-,-,-,-,0,0,0,-,-,14.51,84.71,781,35,27.84,-,22,14.65,-,0,14.7,14.92,13,-,73.73,4.71,-,-,0,0.05,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:54.549,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,3.48,-,-,-,-,-,0,0,0,-,-,14.51,84.71,778.5,35,28.24,-,22,14.65,-,0,14.7,14.94,13,-,57.92,4.71,-,-,0,0.05,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:56.152,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.5,-,-,3.85,-,-,-,-,-,0,0,0,-,-,14.51,84.71,782,35,27.45,-,22,14.65,-,0,14.7,14.96,13,-,64.21,4.71,-,-,0,0.05,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:57.821,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,0.59,-,-,-,-,-,0,0,0,-,-,14.51,84.71,779.5,35,28.24,-,22,14.65,-,0.15,14.7,14.98,13,-,9.83,4.71,-,-,0,0.05,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:10:59.646,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,3.9,-,-,-,-,-,0,0,0,-,-,14.51,84.71,783,35,27.84,-,22,14.65,-,0,14.7,15,13,-,65.06,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:11:01.644,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,0.1,-,-,-,-,-,0,0,0,-,-,14.51,84.71,779.5,35,27.84,-,22,14.65,-,0,14.7,14.98,13,-,1.65,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:11:03.456,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,1.09,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780,36,27.84,-,22,14.65,-,0,14.7,14.96,13,-,18.13,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,35,-
-,09-4-2014 17:11:05.028,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,4.83,-,-,-,-,-,0,0,0,-,-,14.51,84.71,777.5,36,27.45,-,22,14.65,-,0,14.7,14.96,13,-,80.51,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,36,-
-,09-4-2014 17:11:06.808,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,5.79,-,-,-,-,-,0,0,0,-,-,14.51,84.71,777.5,36,28.63,-,22,14.65,-,0,14.7,14.96,13,-,96.44,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,36,-
-,09-4-2014 17:11:08.860,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,0.55,-,-,-,-,-,0,0,0,-,-,14.51,84.71,780.5,36,28.24,-,22,14.65,-,0,14.7,14.98,13,-,9.09,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,36,-
-,09-4-2014 17:11:10.716,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,2.83,-,-,-,-,-,0,0,0,-,-,14.51,84.71,781,36,28.24,-,22,14.65,-,0,14.6,14.9,13,-,47.12,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,36,-
-,09-4-2014 17:11:12.552,-,-,-,-,-,-,0.41,6.66,7.78,0.06,14.65,-,-,1.3,-,-,-,-,-,0,0,0,-,-,14.51,84.71,783,36,27.45,-,22,14.65,-,0,14.8,14.94,13,-,21.67,4.71,-,-,0,0.06,0,-17.78,0,0,0,-,36,-
