GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi)
Fri Mar 28 13:02:29 KST 2014,28-3-2014 12:58:02.654,127.10851658700034,37.39974728708725,0.0,35.0,134.0,0.0,0.18,6.87,7.45,0.05,14.65,0,-,1.06,37.4,127.11,134,-,0,0,-,-,-,-,19.22,31.76,749,80,0,-,35,4.21,-,-0.15,12.5,0.01,26,56.08,17.66,-,-
Fri Mar 28 13:02:30 KST 2014,28-3-2014 12:58:03.132,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.65,0,-,1.06,37.4,127.11,131,-,0,0,-,-,-,-,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,12.5,0.01,26,56.08,17.66,-,-
Fri Mar 28 13:02:30 KST 2014,28-3-2014 12:58:03.707,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.65,0,-,1.06,37.4,127.11,131,-,0,0,-,-,-,-,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,12.5,14.46,26,56.08,17.66,-,-
Fri Mar 28 13:02:31 KST 2014,28-3-2014 12:58:04.199,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,0,-,1.06,37.4,127.11,131,-,0,0,-,-,18.43,-,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,14.5,14.46,26,56.08,17.66,7.84,-
Fri Mar 28 13:02:31 KST 2014,28-3-2014 12:58:04.676,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.06,37.4,127.11,131,-,0,0,-,0,18.43,57,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,14.5,14.46,26,56.08,17.66,7.84,-
Fri Mar 28 13:02:32 KST 2014,28-3-2014 12:58:05.126,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,749,82,26.67,-,33,4.35,-,-10.15,14.5,14.46,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:32 KST 2014,28-3-2014 12:58:05.629,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,745.75,82,26.67,-,33,4.35,-,-10.15,14.5,14.45,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:33 KST 2014,28-3-2014 12:58:06.096,127.10851658700034,37.39974728708725,0.0,20.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,745.75,82,26.67,-,33,4.35,-,-10.15,14.4,14.45,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:33 KST 2014,28-3-2014 12:58:06.637,127.10851658700034,37.39974728708725,0.0,20.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,745.75,82,26.67,-,33,4.35,-,-10.15,14.4,14.45,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:34 KST 2014,28-3-2014 12:58:07.070,127.10851658700034,37.39974728708725,0.0,20.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,751.5,82,26.67,-,33,4.21,-,-10.3,14.4,14.51,26,56.08,17.97,7.84,53.52
Fri Mar 28 13:02:34 KST 2014,28-3-2014 12:58:07.626,127.10851658700034,37.39974728708725,0.0,20.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,751.5,82,26.67,-,33,4.21,-,-10.3,14.4,14.51,26,56.08,17.97,8.24,53.52
Fri Mar 28 13:02:35 KST 2014,28-3-2014 12:58:08.106,127.10851658700034,37.39974728708725,0.0,30.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,751.5,82,26.67,-,33,4.35,-,-10.15,14.4,14.51,26,56.08,18.52,8.24,52.65
Fri Mar 28 13:02:35 KST 2014,28-3-2014 12:58:08.613,127.10851658700034,37.39974728708725,0.0,30.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.11,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,752.25,82,26.27,-,33,4.35,-,-10.15,14.4,14.46,26,56.08,18.52,8.24,52.65
Fri Mar 28 13:02:36 KST 2014,28-3-2014 12:58:09.099,127.10851658700034,37.39974728708725,0.0,30.0,120.0,0.0,0.18,6.87,7.45,0.05,14.5,16.08,-,1.11,37.4,127.11,120,-,0,0,74,0,18.04,57,19.22,18.43,752.25,82,26.27,-,33,4.35,-,-10.15,14.4,14.46,26,56.08,18.52,7.84,52.65
Fri Mar 28 13:02:36 KST 2014,28-3-2014 12:58:09.626,127.10851658700034,37.39974728708725,0.0,30.0,120.0,0.0,0.18,6.87,7.45,0.05,14.5,16.08,-,1.04,37.4,127.11,120,-,0,0,74,0,18.04,57,19.22,18.43,759,82,26.27,-,33,4.21,-,-10.3,14.4,14.46,26,56.08,17.36,7.84,53.08
Fri Mar 28 13:02:37 KST 2014,28-3-2014 12:58:10.150,127.10851658700034,37.39974728708725,0.0,30.0,118.0,0.0,0.18,6.87,7.45,0.05,14.5,16.08,-,1.04,37.4,127.11,118,-,0,0,74,0,18.04,57,19.22,18.04,759,82,25.1,-,33,4.21,-,-10.3,14.4,14.47,26,56.08,17.36,7.84,53.08
Fri Mar 28 13:02:37 KST 2014,28-3-2014 12:58:10.634,127.10851658700034,37.39974728708725,0.0,30.0,118.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.04,37.4,127.11,118,-,0,0,74,0,18.04,57,19.22,18.04,759,82,25.1,-,33,4.21,-,-10.3,14.4,14.47,26,56.08,17.36,7.84,53.08
Fri Mar 28 13:02:38 KST 2014,28-3-2014 12:58:11.110,127.10851658700034,37.39974728708725,0.0,15.0,104.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.08,37.4,127.11,104,-,0,0,74,0,18.04,57,19.22,18.43,746,82,27.06,-,33,4.21,-,-10.3,14.4,14.43,26,56.08,18.03,7.84,53.52
Fri Mar 28 13:02:38 KST 2014,28-3-2014 12:58:11.625,127.10851658700034,37.39974728708725,0.0,15.0,104.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,104,-,0,0,74,0,18.43,57,19.22,18.43,746,82,27.06,-,33,4.21,-,-10.3,14.4,14.43,26,56.08,18.03,7.84,53.52
Fri Mar 28 13:02:39 KST 2014,28-3-2014 12:58:12.146,127.10851658700034,37.39974728708725,0.0,30.0,97.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,97,-,0,0,74,0,18.43,57,19.22,19.61,738,82,30.59,-,33,4.35,-,-10.15,14.4,13.84,26,56.08,18.03,7.84,53.52
Fri Mar 28 13:02:39 KST 2014,28-3-2014 12:58:12.622,127.10851658700034,37.39974728708725,0.0,30.0,97.0,0.0,0.18,6.87,7.45,0.05,14.5,29.41,-,1.08,37.4,127.11,97,-,0,0,74,0,21.96,57,19.22,19.61,738,82,30.59,-,33,4.35,-,-10.15,14.4,13.84,26,56.08,18.03,11.37,53.52
Fri Mar 28 13:02:40 KST 2014,28-3-2014 12:58:13.089,127.10851658700034,37.39974728708725,0.0,30.0,91.0,0.0,0.18,6.87,7.45,0.05,14.5,29.41,-,1.82,37.4,127.11,91,-,0,0,74,0,21.96,57,19.22,19.61,749.5,82,30.59,-,33,6.38,-,-8.12,14.4,13.84,26,56.08,30.39,11.37,51.78
Fri Mar 28 13:02:40 KST 2014,28-3-2014 12:58:13.605,127.10851658700034,37.39974728708725,0.0,30.0,91.0,0.0,0.18,6.87,7.45,0.05,14.5,26.27,-,1.82,37.4,127.11,91,-,0,0,74,0,21.57,57,19.22,21.57,749.5,82,42.35,-,33,6.38,-,-8.12,14.4,14.42,26,56.08,30.39,10.98,51.78
Fri Mar 28 13:02:41 KST 2014,28-3-2014 12:58:14.068,127.10851658700034,37.39974728708725,0.0,25.0,87.0,0.0,0.18,6.87,7.45,0.05,14.5,26.27,-,1.76,37.4,127.11,87,-,0,0,74,0,21.57,57,19.22,21.57,757.75,82,42.35,-,33,6.38,-,-8.12,14.4,14.42,26,56.08,29.36,10.98,51.78
Fri Mar 28 13:02:41 KST 2014,28-3-2014 12:58:14.601,127.10851658700034,37.39974728708725,0.0,25.0,87.0,0.0,0.18,6.87,7.45,0.05,14.5,26.27,-,1.76,37.4,127.11,87,-,0,0,74,0,19.61,57,19.22,20,757.75,82,37.65,-,33,6.38,-,-8.12,14.4,14.35,26,56.08,29.36,9.41,51.78
Fri Mar 28 13:02:42 KST 2014,28-3-2014 12:58:15.130,127.10851658700034,37.39974728708725,0.0,20.0,86.0,0.0,0.18,6.87,7.45,0.05,14.5,20,-,1.76,37.4,127.11,86,-,0,0,74,0,19.61,57,19.22,20,757.75,82,37.65,-,33,6.38,-,-8.12,14.4,14.35,26,56.08,29.36,9.41,51.78
Fri Mar 28 13:02:42 KST 2014,28-3-2014 12:58:15.595,127.10851658700034,37.39974728708725,0.0,20.0,86.0,0.0,0.18,6.87,7.45,0.05,14.5,20,-,1.27,37.4,127.11,86,-,0,0,74,0,19.61,57,19.22,19.22,768.5,82,30.59,-,32,5.08,-,-9.43,14.4,14.46,26,56.08,21.14,9.41,51.78
Fri Mar 28 13:02:43 KST 2014,28-3-2014 12:58:16.140,127.10851658700034,37.39974728708725,0.0,15.0,83.0,0.0,0.18,6.87,7.45,0.05,14.5,18.82,-,1.27,37.4,127.11,83,-,0,0,74,0,19.22,57,19.22,19.22,768.5,82,30.59,-,32,5.08,-,-9.43,14.3,14.46,26,56.08,21.14,9.02,51.78
Fri Mar 28 13:02:43 KST 2014,28-3-2014 12:58:16.618,127.10851658700034,37.39974728708725,0.0,15.0,83.0,0.0,0.18,6.87,7.45,0.05,14.5,18.82,-,1.26,37.4,127.11,83,-,0,0,74,0,19.22,57,19.22,19.22,751.5,82,30.98,-,32,4.93,-,-9.57,14.3,14.47,26,56.08,20.95,9.02,52.21
Fri Mar 28 13:02:44 KST 2014,28-3-2014 12:58:17.132,127.10851658700034,37.39974728708725,0.0,15.0,81.0,0.0,0.18,6.87,7.45,0.05,14.5,19.22,-,1.26,37.4,127.11,81,-,0,0,74,0,19.22,57,19.22,19.22,751.5,82,30.98,-,32,4.93,-,-9.57,14.4,14.47,26,56.08,20.95,9.02,52.21
Fri Mar 28 13:02:44 KST 2014,28-3-2014 12:58:17.593,127.10851658700034,37.39974728708725,0.0,15.0,81.0,0.0,0.18,6.87,7.45,0.05,14.5,19.22,-,1.27,37.4,127.11,81,-,0,0,74,0,19.22,57,19.22,19.22,756,82,30.98,-,32,5.08,-,-9.43,14.4,14.35,26,56.08,21.14,9.02,52.65
Fri Mar 28 13:02:45 KST 2014,28-3-2014 12:58:18.067,127.10851658700034,37.39974728708725,0.0,25.0,85.0,0.0,0.18,6.87,7.45,0.05,14.5,18.82,-,1.27,37.4,127.11,85,-,0,0,74,0,19.22,57,19.22,19.22,756,82,30.98,-,32,5.08,-,-9.43,14.4,14.35,26,56.08,21.14,9.02,52.65
Fri Mar 28 13:02:45 KST 2014,28-3-2014 12:58:18.616,127.10851658700034,37.39974728708725,0.0,25.0,85.0,0.0,0.18,6.87,7.45,0.05,14.5,18.82,0.08,1.25,37.4,127.11,85,0.11,0,0,74,0,19.22,57,19.22,19.22,741.5,82,31.37,-,32,5.08,1.01,-9.43,14.4,14.35,26,56.08,20.83,9.02,53.08
Fri Mar 28 13:02:46 KST 2014,28-3-2014 12:58:19.115,127.10851658700034,37.39974728708725,0.0,20.0,89.0,0.0,0.18,6.87,7.45,0.05,14.5,20.39,0.08,1.25,37.4,127.11,89,0.11,0,0,74,0,19.22,57,19.22,19.22,741.5,82,31.37,-,32,5.08,1.01,-9.43,14.3,14.37,26,56.08,20.83,9.02,53.08
Fri Mar 28 13:02:46 KST 2014,28-3-2014 12:58:19.608,127.10851658700034,37.39974728708725,0.0,20.0,89.0,0.0,0.18,6.87,7.45,0.05,14.5,20.39,0.08,1.32,37.4,127.11,89,0.11,0,0.68,74,0,19.22,57,19.22,19.22,749.25,82,31.37,0,32,5.22,1.01,-9.28,14.3,14.37,26,56.08,21.99,9.02,51.78
Fri Mar 28 13:02:47 KST 2014,28-3-2014 12:58:20.099,127.10851658700034,37.39974728708725,0.0,20.0,94.0,0.0,0.18,6.87,7.45,0.05,14.5,20.39,0.08,1.32,37.4,127.11,94,0.11,0,0.68,74,0,19.61,57,19.22,19.61,749.25,82,32.55,0,32,5.22,1.01,-9.28,14.2,14.23,26,56.08,21.99,9.41,51.78
Fri Mar 28 13:02:47 KST 2014,28-3-2014 12:58:20.598,127.10851658700034,37.39974728708725,0.0,20.0,94.0,0.0,0.18,6.87,7.45,0.05,14.5,20.39,0.08,1.32,37.4,127.11,94,0.11,0,0.68,74,0,19.61,57,19.22,19.61,743,82,32.55,0,32,5.22,1.01,-9.28,14.2,14.23,26,56.08,21.99,9.41,53.08
Fri Mar 28 13:02:48 KST 2014,28-3-2014 12:58:21.068,127.10851658700034,37.39974728708725,0.0,30.0,96.0,0.0,0.18,6.87,7.45,0.05,14.5,20,0.08,1.32,37.4,127.11,96,0.11,0,0.68,74,0,19.61,58,19.22,19.61,743,82,32.55,0,32,5.22,1.01,-9.28,14.4,14.32,26,56.08,21.99,9.41,53.08
Fri Mar 28 13:02:48 KST 2014,28-3-2014 12:58:21.594,127.10851658700034,37.39974728708725,0.0,30.0,96.0,0.0,0.18,6.87,7.45,0.05,14.5,20,0.08,1.25,37.4,127.11,96,0.11,0,0.72,74,0,19.61,58,19.22,19.61,760,82,32.55,0,32,5.08,1.01,-9.43,14.4,14.32,26,56.47,20.83,9.41,53.08
Fri Mar 28 13:02:49 KST 2014,28-3-2014 12:58:22.124,127.10851658700034,37.39974728708725,0.0,20.0,96.0,0.0,0.18,6.87,7.45,0.05,14.5,20,-,1.25,37.4,127.11,96,-,0,0.72,74,0,19.22,58,19.22,19.22,760,82,30.2,0,32,5.08,-,-9.43,14.3,14.32,26,56.47,20.83,9.02,53.08
Fri Mar 28 13:02:49 KST 2014,28-3-2014 12:58:22.619,127.10851658700034,37.39974728708725,0.0,20.0,96.0,0.0,0.18,6.87,7.45,0.05,14.5,18.43,-,1.25,37.4,127.11,96,-,0,0.72,74,0,19.22,58,19.22,19.22,760,82,30.2,0,32,5.08,-,-9.43,14.3,14.32,26,56.47,20.83,9.02,53.08
Fri Mar 28 13:02:50 KST 2014,28-3-2014 12:58:23.102,127.10851658700034,37.39974728708725,0.0,30.0,94.0,0.0,0.18,6.87,7.45,0.05,14.5,18.43,-,1.28,37.4,127.11,94,-,0,0,74,0,19.22,58,19.22,19.61,747.75,82,31.76,0,32,5.08,-,-9.43,14.3,14.28,26,56.86,21.38,9.02,53.52
Fri Mar 28 13:02:50 KST 2014,28-3-2014 12:58:23.601,127.10851658700034,37.39974728708725,0.0,30.0,94.0,0.0,0.18,6.87,7.45,0.05,14.5,22.75,-,1.28,37.4,127.11,94,-,0,0,74,0,20.78,58,19.22,19.61,747.75,82,31.76,0,32,5.08,-,-9.43,14,14.28,26,56.86,21.38,9.02,53.52
Fri Mar 28 13:02:51 KST 2014,28-3-2014 12:58:24.125,127.10851658700034,37.39974728708725,0.0,20.0,91.0,0.0,0.18,6.87,7.45,0.05,14.5,22.75,-,1.83,37.4,127.11,91,-,0,0,74,0,20.78,58,19.22,21.96,695.5,82,49.41,0,32,6.24,-,-8.27,14,14.28,26,56.86,30.52,9.02,53.08
Fri Mar 28 13:02:51 KST 2014,28-3-2014 12:58:24.605,127.10851658700034,37.39974728708725,0.0,20.0,91.0,0.0,0.18,6.87,7.45,0.05,14.5,28.24,-,1.83,37.4,127.11,91,-,0,0,74,0,21.96,58,20,21.96,695.5,82,49.41,0,32,6.24,-,-8.27,14.4,13.88,26,56.86,30.52,11.76,53.08
Fri Mar 28 13:02:52 KST 2014,28-3-2014 12:58:25.130,127.10851658700034,37.39974728708725,0.0,20.0,88.0,0.0,0.18,6.87,7.45,0.05,14.5,28.24,0.16,1.8,37.4,127.11,88,0.22,0,0,74,0,21.96,58,20,21.96,733.25,82,43.53,0,32,6.82,2.09,-7.69,14.4,13.88,26,56.86,30.03,11.76,52.21
Fri Mar 28 13:02:52 KST 2014,28-3-2014 12:58:25.605,127.10851658700034,37.39974728708725,0.0,20.0,88.0,0.0,0.18,6.87,7.45,0.05,14.5,19.22,0.16,1.8,37.4,127.11,88,0.22,0,0,74,0,21.96,58,23.53,21.96,733.25,82,43.53,0,32,6.82,2.09,-7.69,14.4,14.34,26,56.86,30.03,11.37,52.21
Fri Mar 28 13:02:53 KST 2014,28-3-2014 12:58:26.094,127.10851658700034,37.39974728708725,0.0,20.0,90.0,0.0,0.18,6.87,7.45,0.05,14.5,19.22,0.16,1.96,37.4,127.11,90,0.22,0,0.46,74,0,21.96,58,23.53,21.96,1060.75,82,43.53,0,32,5.37,2.09,-9.14,14.4,14.34,26,57.25,32.59,11.37,49.17
Fri Mar 28 13:02:53 KST 2014,28-3-2014 12:58:26.611,127.10851658700034,37.39974728708725,0.0,20.0,90.0,0.0,0.18,6.87,7.45,0.05,14.5,19.22,1.63,1.96,37.4,127.11,90,2.19,0,0.46,74,0,21.96,58,23.53,23.14,1060.75,82,33.73,0,32,5.37,14.71,-9.14,14.4,14.42,26,57.25,32.59,20,49.17
Fri Mar 28 13:02:54 KST 2014,28-3-2014 12:58:27.091,127.10851569000012,37.3997590855675,0.34114254,15.0,88.0,0.0,0.18,6.87,7.45,0.05,14.5,45.49,1.63,1.96,37.4,127.11,88,2.19,0,0.46,74,0,30.98,58,27.06,23.14,1060.75,82,33.73,0,32,9.28,14.71,-5.22,14.4,14.42,26,57.25,32.59,20,53.08
Fri Mar 28 13:02:54 KST 2014,28-3-2014 12:58:27.617,127.10851569000012,37.3997590855675,0.34114254,15.0,88.0,0.0,0.18,6.87,7.45,0.05,14.5,45.49,2.92,4.32,37.4,127.11,88,3.91,0,0.83,74,0,30.98,58,27.06,29.8,1582.5,82,44.71,0,32,9.28,17.59,-5.22,14.3,14.39,26,57.25,72.06,19.22,53.08
Fri Mar 28 13:02:55 KST 2014,28-3-2014 12:58:28.085,127.10853561770615,37.399769566470006,0.43088317,10.0,83.0,0.0,0.18,6.87,7.45,0.05,14.5,32.55,2.92,4.32,37.4,127.11,83,3.91,0,0.83,75,0,29.8,58,27.45,29.8,1582.5,82,44.71,0,32,9.28,17.59,-5.22,14.3,14.39,26,57.25,72.06,19.22,53.08
Fri Mar 28 13:02:55 KST 2014,28-3-2014 12:58:28.607,127.10853561770615,37.399769566470006,0.43088317,10.0,83.0,0.0,0.18,6.87,7.45,0.05,14.5,32.55,8.86,4.91,37.4,127.11,83,11.88,0,1.28,75,0,29.8,58,27.45,30.59,1730,82,46.67,0.01,31,9.28,48.9,-5.22,14.3,14.37,26,58.43,81.8,19.22,49.17
Fri Mar 28 13:02:56 KST 2014,28-3-2014 12:58:29.083,127.1085698442521,37.39978302976575,0.7099032,10.0,79.0,0.0,0.18,6.87,7.45,0.05,14.5,32.94,8.86,4.91,37.4,127.11,79,11.88,0,1.28,75,0,30.98,58,27.45,30.59,1730,82,46.67,0.01,31,9.28,48.9,-5.22,14.3,14.37,26,58.43,81.8,20.78,49.17
Fri Mar 28 13:02:56 KST 2014,28-3-2014 12:58:29.588,127.1085698442521,37.39978302976575,0.7099032,10.0,79.0,0.0,0.18,6.87,7.45,0.05,14.5,32.94,9.33,5.83,37.4,127.11,79,12.51,0,1.85,75,0,30.98,58,27.45,30.59,2090.75,82,43.14,0.01,31,8.85,42.61,-5.66,14.3,14.37,26,58.43,97.21,20.78,50.91
Fri Mar 28 13:02:57 KST 2014,28-3-2014 12:58:30.088,127.1086207504953,37.39977143744511,0.97654283,20.0,78.0,0.0,0.18,6.87,7.45,0.05,14.5,35.69,9.33,5.83,37.4,127.11,78,12.51,0,1.85,75,0,31.76,58,27.45,31.37,2090.75,82,43.14,0.01,31,8.85,42.61,-5.66,14.3,14.34,26,58.43,97.21,21.18,50.91
Fri Mar 28 13:02:57 KST 2014,28-3-2014 12:58:30.618,127.1086207504953,37.39977143744511,0.97654283,20.0,78.0,0.0,0.18,6.87,7.45,0.05,14.5,35.69,9.33,5.82,37.4,127.11,78,12.51,0,2.47,75,0,31.76,58,27.45,31.37,1793,82,43.14,0.01,31,9.72,42.61,-4.79,14.3,14.34,26,55.69,96.97,21.18,49.6
Fri Mar 28 13:02:58 KST 2014,28-3-2014 12:58:31.101,127.10868423598946,37.399784175753425,1.3636075,30.0,81.0,78.32796,0.18,6.87,7.45,0.05,14.5,35.69,7.86,5.82,37.4,127.11,81,10.54,78.33,2.47,75,0,31.76,58,27.45,31.76,1793,82,49.8,0.02,30,9.72,41.86,-4.79,14.3,14.32,26,55.69,96.97,21.57,49.6
Fri Mar 28 13:02:58 KST 2014,28-3-2014 12:58:31.615,127.10868423598946,37.399784175753425,1.3636075,30.0,81.0,78.32796,0.18,6.87,7.45,0.05,14.5,36.47,7.86,5.82,37.4,127.11,81,10.54,78.33,2.47,75,0,31.76,58,27.45,31.76,1793,82,49.8,0.02,30,9.86,41.86,-4.64,14.3,14.32,26,55.69,96.97,21.57,49.6
Fri Mar 28 13:02:59 KST 2014,28-3-2014 12:58:32.089,127.10874086061649,37.39980199841292,1.7119658,15.0,85.0,80.946655,0.18,6.87,7.45,0.05,14.5,36.47,9.42,6.08,37.4,127.11,85,12.63,80.95,2.81,75,0,31.76,58,27.45,31.76,1955.5,82,47.45,0.02,30,9.86,45.98,-4.64,14.3,14.31,26,55.69,101.42,21.57,49.6
Fri Mar 28 13:02:59 KST 2014,28-3-2014 12:58:32.622,127.10874086061649,37.39980199841292,1.7119658,15.0,85.0,80.946655,0.18,6.87,7.45,0.05,14.5,35.29,9.42,6.08,37.4,127.11,85,12.63,80.95,2.81,75,0,31.76,58,26.27,31.76,1955.5,82,47.45,0.02,30,9.86,45.98,-4.64,14.3,14.31,26,58.82,101.42,21.57,49.6
Fri Mar 28 13:03:00 KST 2014,28-3-2014 12:58:33.084,127.10880707948083,37.39979361677054,2.1768267,15.0,80.0,87.402054,0.18,6.87,7.45,0.05,14.5,35.29,6.9,4.74,37.4,127.11,80,9.25,87.4,4.17,75,0,31.76,58,26.27,29.41,2036,82,36.08,0.03,30,7.69,32.35,-6.82,14.3,14.31,26,58.82,79.06,21.57,48.3
Fri Mar 28 13:03:00 KST 2014,28-3-2014 12:58:33.582,127.10880707948083,37.39979361677054,2.1768267,15.0,80.0,87.402054,0.18,6.87,7.45,0.05,14.5,37.25,6.9,4.74,37.4,127.11,80,9.25,87.4,4.17,75,0,30.2,58,25.88,29.41,2036,82,36.08,0.03,30,7.69,32.35,-6.82,14.3,14.29,26,58.82,79.06,19.61,48.3
Fri Mar 28 13:03:01 KST 2014,28-3-2014 12:58:34.092,127.10887489063855,37.39978155686086,2.6315773,10.0,76.0,94.658585,0.18,6.87,7.45,0.05,14.5,37.25,6.9,5.24,37.4,127.11,76,9.43,94.66,4.12,75,0,30.2,58,25.88,29.41,1710,82,36.08,0.04,30,9.86,39.26,-4.64,14.3,14.29,26,60,87.41,19.61,49.6
Fri Mar 28 13:03:01 KST 2014,28-3-2014 12:58:34.618,127.10887489063855,37.39978155686086,2.6315773,10.0,76.0,94.658585,0.18,6.87,7.45,0.05,14.5,16.08,7.03,5.24,37.4,127.11,76,9.43,94.66,4.12,75,0,23.92,58,19.61,30.98,1710,82,47.84,0.04,30,9.86,39.26,-4.64,14.2,14.26,26,60,87.41,15.29,49.6
Fri Mar 28 13:03:02 KST 2014,28-3-2014 12:58:35.097,127.10894441831475,37.39977133230582,3.0817342,15.0,72.0,91.35326,0.18,6.87,7.45,0.05,14.5,16.08,7.03,1.2,37.4,127.11,72,9.43,91.35,19.46,75,0,23.92,58,19.61,30.98,1384.75,82,47.84,0.04,30,3.77,39.26,-10.73,14.2,14.26,26,60,20.04,15.29,50.04
Fri Mar 28 13:03:02 KST 2014,28-3-2014 12:58:35.617,127.10894441831475,37.39977133230582,3.0817342,15.0,72.0,91.35326,0.18,6.87,7.45,0.05,14.5,16.08,4.08,1.2,37.4,127.11,72,5.47,91.35,19.46,75,0,23.92,58,19.61,19.22,1384.75,82,14.51,0.05,30,3.77,28.11,-10.73,14.2,14.22,26,60,20.04,9.02,50.04
Fri Mar 28 13:03:03 KST 2014,28-3-2014 12:58:36.085,127.10901953925811,37.39976782432926,3.5219586,10.0,72.0,90.70183,0.18,6.87,7.45,0.05,14.5,10.98,4.08,1.2,37.4,127.11,72,5.47,90.7,19.46,75,0,19.22,59,19.22,19.22,1384.75,82,14.51,0.05,30,3.77,28.11,-10.73,14.2,14.22,26,59.61,20.04,9.02,50.04
Fri Mar 28 13:03:03 KST 2014,28-3-2014 12:58:36.606,127.10901953925811,37.39976782432926,3.5219586,10.0,72.0,90.70183,0.18,6.87,7.45,0.05,14.5,10.98,4.08,1.24,37.4,127.11,72,5.47,90.7,19.56,75,0,19.22,59,19.22,19.22,1287.75,82,16.08,0.05,30,3.19,28.11,-11.31,14.2,14.27,26,59.61,20.71,9.02,51.34
Fri Mar 28 13:03:04 KST 2014,28-3-2014 12:58:37.091,127.10909533614056,37.399778951117476,7.219062,15.0,71.0,91.082436,0.18,6.87,7.45,0.05,14.5,10.98,4.08,1.24,37.4,127.11,71,5.47,91.08,19.56,75,0,19.22,59,19.22,19.22,1287.75,82,16.08,0.05,30,3.19,28.11,-11.31,14.2,14.27,26,59.61,20.71,9.02,51.34
Fri Mar 28 13:03:04 KST 2014,28-3-2014 12:58:37.616,127.10909533614056,37.399778951117476,7.219062,15.0,71.0,91.082436,0.18,6.87,7.45,0.05,14.5,10.98,4.08,1.23,37.4,127.11,71,5.47,91.08,19.06,75,0,19.22,59,19.22,19.22,1224.75,82,16.47,0.06,30,3.34,28.11,-11.17,14.2,14.23,26,59.61,20.47,9.02,51.78
Fri Mar 28 13:03:05 KST 2014,28-3-2014 12:58:38.071,127.10917536559829,37.399794856368686,6.725356,10.0,73.0,92.20901,0.18,6.87,7.45,0.05,14.5,10.98,4.08,1.23,37.4,127.11,73,5.47,92.21,19.06,75,0,19.22,58,19.22,19.22,1224.75,82,16.47,0.06,30,3.34,28.11,-11.17,14.2,14.23,26,59.61,20.47,8.63,51.78
