GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi),Speed (GPS)(km/h),Speed (OBD)(km/h),Fuel used (trip)(l),Fuel tank pressure(psi),Outside air temperature(°C),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C)
-,09-4-2014 17:08:42.129,-,-,-,-,-,-,2.04,8.35,4.59,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,-,-,-
-,09-4-2014 17:08:43.231,-,-,-,-,-,-,2.04,8.35,4.59,0.01,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-17.78,0,0,0,-,-,-
-,09-4-2014 17:08:46.300,-,-,-,-,-,-,2.04,8.35,4.59,0.01,14.65,-,-,-,-,-,-,-,-,0,0,0,-,-,-,84.71,780.5,29,28.63,-,22,14.65,-,-0.05,-,14.96,13,-,-,-,-,-,0,-,0,-17.78,0,0,0,-,29,-
-,09-4-2014 17:08:49.339,-,-,-,-,-,-,2.04,8.35,4.59,0.01,14.65,-,-,-,-,-,-,-,-,0,0,0,-,-,-,84.71,778,29,29.41,-,22,14.65,-,0,14.7,14.96,13,-,-,-,-,-,0,0,0,-17.78,0,0,0,-,29,-
-,09-4-2014 17:08:52.358,-,-,-,-,-,-,2.04,8.35,4.59,0.01,14.65,-,-,6.07,-,-,-,-,-,0,0,0,-,-,-,84.71,777.5,29,29.41,-,22,14.65,-,0,14.6,15,13,-,101.2,-,-,-,0,0.01,0,-17.78,0,0,0,-,29,-
-,09-4-2014 17:08:54.986,-,-,-,-,-,-,2.04,8.35,4.59,0.01,14.65,-,-,2.53,-,-,-,-,-,0,0,0,-,-,14.51,84.71,786.5,30,28.24,-,22,14.65,-,0,14.7,14.96,13,-,42.18,4.71,-,-,0,0.01,0,-17.78,0,0,0,-,29,-
